participant_id,session_id,response_type,response_text,word_count,character_count,mentions_data_circle,mentions_party_view,mentions_tooltips_explanation,mentions_simulator_or_server,mentions_confusion,mentions_exploration,mentions_external_resources,include_quote,code_primary,code_secondary,theme,researcher_note
Uriel_Septim_VII,Uriel_Septim_VII,supported_exploration,"Being able to quickly see how changing subclasses affects a high level character (rather than checking level by level like in the game, or seeing the info seperately on a wiki) encouraged me to experiment and led me to change most of the characters quite a bit.

The tool made it helpful to see the different damage types and made me not focus too much on a single type (e.g. making a necro warlock makes you want to pick those spells, but after seeing that the character had little variety made me diversify the spells)

The main usefulness was in seeing the spread of damage types, ranges and utility vs damage.

Being able to see changes quickly (e.g. changing races, subraces, subclasses) and how it affects the character made me look at more choices than I usually would sinc eit so quick.",142,794,False,False,False,False,False,False,True,,,,,
Uriel_Septim_VII,Uriel_Septim_VII,blocked_exploration,"A minor downside of planning a fully leveled character is failing to see exactly which choices one will make at each level so as to have a clear progression during gameplay, but I feel that is easy to figure out during gameplay as you can see the choices available upon level up.",52,279,True,False,False,False,False,False,False,,,,,
Uriel_Septim_VII,Uriel_Septim_VII,changed_normal_planning,"Since I usually do not use third party tools but wikis instead, this made the information much easier to access (everything is in one place), and you can see how the different choices affect each other.",36,202,False,True,False,False,False,False,True,,,,,
Uriel_Septim_VII,Uriel_Septim_VII,suggested_change,"Improve readability

Some of the text in the wheel is too small so a bit harder to read than I would like. 

About understanding the visualization, I did fully understand (I think) the visualization, but only after playing with it for some time and not immediately.",46,265,False,False,True,False,False,False,False,,,,,
Uriel_Septim_VII,Uriel_Septim_VII,optional_comments,"Exploration/history comment: Regarding the tool helping me check previous version, I put 'neither' as I did not use the feature. When making single characters it would probably be less useful since the complexity of any one character is not very high. It would probably be more useful when making in depth experimentation of a full party, which I did not do here.

Autonomy and optimization comment: Regarding the task not feeling like optimisation: I agree with the statement and the tool does not inherently push towards maximising damage (no rankings, showing which options do more damage etc.), though having direct feedback when making a choice (seeing the number go up and also the circle getting bigger) makes it more likely to keep damaging spells instead of support spells. Still those are useful features that are worth having despite this.

Feature usefulness comment: I did not find myself using the small party member circles to check on the other members much, but I think that is because I just made them now rather than having characters I made a while ago, as I remembered all the choices I made with them. 

For the build history, as I focused more on the individual characters rather than making many party iterations I also did not use this feature much,

Did not use the simulator.

Missing information comment: None that I could think of (as in I never yearned for information and could not find it).",242,1422,True,True,False,True,False,True,False,,,,,
Uriel_Septim_VII,Uriel_Septim_VII,visualization_observation,"Seeing the spread of different damage ranges and damage types made me diversify the characters more (or focus them in case of ranged only characters where I did not care for non ranged options, though in those cases it reminded me to select utility spells for escaping back into desired range)",51,293,False,False,False,False,False,False,False,,,,,
Uriel_Septim_VII,Uriel_Septim_VII,other_factor,,0,0,False,False,False,False,False,False,False,,,,,
Yoloman,Yoloman,supported_exploration,Yes I tried to average and spread the damage information over the 4 team characters.,15,84,False,False,False,False,False,False,False,,,,,
Yoloman,Yoloman,blocked_exploration,The dropdown lists when selecting characteristics. I think that the lack of explanations for each characteristic was missing for the reason why to choose it.,25,157,False,False,True,False,False,False,False,,,,,
Yoloman,Yoloman,changed_normal_planning,That you have a list of saved characters that you can save and load on the sidebar.,17,83,False,False,False,False,False,False,False,,,,,
Yoloman,Yoloman,suggested_change,,0,0,False,False,False,False,False,False,False,,,,,
Yoloman,Yoloman,optional_comments,,0,0,False,False,False,False,False,False,False,,,,,
Yoloman,Yoloman,visualization_observation,Yes I tried to average and spread the damage information over the 4 team characters.,15,84,False,False,False,False,False,False,False,,,,,
Yoloman,Yoloman,other_factor,,0,0,False,False,False,False,False,False,False,,,,,
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,supported_exploration,"The part that was most helpful for me was the visualization and the ability to interact with it. It allowed me to easily follow the results, identify where my party was unbalanced, and fix it right away.",37,203,False,True,False,False,False,False,False,,,,,
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,blocked_exploration,"I think the drop-down menus slightly blocked the exploration process, because someone new to the game might not be familiar with the classes, backgrounds, subclasses, and other options.

They would need to search online to better understand the options and choose their characters’ traits wisely.

I believe the ability improvement feature was a very good example of how a short explanation can help clarify the outcome of these choices.",69,437,False,False,True,False,False,True,True,,,,,
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,changed_normal_planning,"I just follow guides if I'm trying to Min-Max a build. 

However, If I want to experiment and make my own build, I would use this tool to do so and to see where the build is rough around the edges.",41,197,False,False,False,False,False,True,True,,,,,
participant-mpya2p1q-46ef0b,participant-mpya2p1q-46ef0b,suggested_change,"As I mentioned before, adding a short explanation to each drop-down menu option would be helpful for new users to follow. It would also serve as a useful reminder for experienced users, helping them understand how the differences between options could affect the final outcome and choose the traits that best suit their vision for the characters.",57,346,False,False,True,False,False,False,False,,,,,
